
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000463                       # Number of seconds simulated (Second)
simTicks                                    463199500                       # Number of ticks simulated (Tick)
finalTick                                   463199500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.28                       # Real time elapsed on the host (Second)
hostTickRate                                 12423330                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1174132                       # Number of bytes of host memory used (Byte)
simInsts                                       253766                       # Number of instructions simulated (Count)
simOps                                         375006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6806                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10058                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          919331                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.540023                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.152905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         320824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1698                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        524561                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   298                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               79131                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           130414                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                729                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             610231                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.859611                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.717221                       # Number of insts issued each cycle (Count)
system.cpu0.branchPred.corrected_0::CallDirect          619     23.97%     24.52% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::CallIndirect          171      6.62%     31.14% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::DirectCond         1332     51.59%     82.73% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::DirectUncond          263     10.19%     92.91% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::IndirectCond            0      0.00%     92.91% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::IndirectUncond          183      7.09%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.corrected_0::total         2582                       # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu0.branchPred.earlyResteers_0::NoBranch            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::Return            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::CallDirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::CallIndirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::DirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::DirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::IndirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::IndirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.earlyResteers_0::total            0                       # Number of branches that got redirected after decode. (Count)
system.cpu0.branchPred.committed_0::NoBranch            0      0.00%      0.00% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::Return         2478     10.81%     10.81% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::CallDirect         1953      8.52%     19.32% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::CallIndirect          530      2.31%     21.63% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::DirectCond        16799     73.26%     94.89% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::DirectUncond          800      3.49%     98.38% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::IndirectCond            0      0.00%     98.38% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::IndirectUncond          371      1.62%    100.00% # Number of branches finally committed  (Count)
system.cpu0.branchPred.committed_0::total        22931                       # Number of branches finally committed  (Count)
system.cpu0.branchPred.mispredicted_0::NoBranch            0      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::Return            0      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::CallDirect          418     20.97%     20.97% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::CallIndirect          166      8.33%     29.30% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::DirectCond         1093     54.84%     84.14% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::DirectUncond          144      7.23%     91.37% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::IndirectCond            0      0.00%     91.37% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::IndirectUncond          172      8.63%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.mispredicted_0::total         1993                       # Number of committed branches that were mispredicted. (Count)
system.cpu0.branchPred.targetProvider_0::NoTarget        17238     50.40%     50.40% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::BTB        12553     36.70%     87.10% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::RAS         3717     10.87%     97.96% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::Indirect          697      2.04%    100.00% # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetProvider_0::total        34205                       # The component providing the target for taken branches (Count)
system.cpu0.branchPred.targetWrong_0::NoBranch         2251     87.93%     87.93% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::Return          216      8.44%     96.37% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::CallDirect           14      0.55%     96.91% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::CallIndirect           79      3.09%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::DirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::DirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::IndirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::IndirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.targetWrong_0::total         2560                       # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu0.branchPred.condPredicted            24498                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condPredictedTaken        10386                       # Number of conditional branches predicted as taken (Count)
system.cpu0.branchPred.condIncorrect             2582                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.predTakenBTBMiss          1046                       # Number of branches predicted taken but missed in BTB (Count)
system.cpu0.branchPred.NotTakenMispredicted         2391                       # Number branches predicted 'not taken' but turned out to be taken (Count)
system.cpu0.branchPred.TakenMispredicted          191                       # Number branches predicted taken but are actually not taken (Count)
system.cpu0.branchPred.BTBLookups               34205                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates                2023                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits                  16451                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.480953                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.BTBMispredicted           1489                       # Number BTB mispredictions. No target found or target wrong (Count)
system.cpu0.branchPred.indirectLookups           1544                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits               697                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses             847                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu0.branchPred.btb.lookups::NoBranch            0      0.00%      0.00% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::Return         3717     10.87%     10.87% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::CallDirect         3114      9.10%     19.97% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::CallIndirect          785      2.29%     22.27% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::DirectCond        24498     71.62%     93.89% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::DirectUncond         1332      3.89%     97.78% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::IndirectCond            0      0.00%     97.78% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::IndirectUncond          759      2.22%    100.00% # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.lookups::total        34205                       # Number of BTB lookups (Count)
system.cpu0.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::Return         3711     20.90%     20.90% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::CallDirect          927      5.22%     26.12% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::CallIndirect          785      4.42%     30.55% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::DirectCond        11208     63.13%     93.67% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::DirectUncond          364      2.05%     95.72% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::IndirectCond            0      0.00%     95.72% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::IndirectUncond          759      4.28%    100.00% # Number of BTB misses (Count)
system.cpu0.branchPred.btb.misses::total        17754                       # Number of BTB misses (Count)
system.cpu0.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::CallDirect          619     30.60%     30.60% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::CallIndirect            0      0.00%     30.60% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::DirectCond         1141     56.40%     87.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::DirectUncond          263     13.00%    100.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu0.branchPred.btb.updates::total         2023                       # Number of BTB updates (Count)
system.cpu0.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::CallDirect          619     30.60%     30.60% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::CallIndirect            0      0.00%     30.60% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::DirectCond         1141     56.40%     87.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::DirectUncond          263     13.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu0.branchPred.btb.mispredict::IndirectCond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
